"","Record.ID","Sub.Num","Date","Time","Phase","Tr.Num.Overall","Tr.Num","Condition","Response","RT","Accuracy"
"1",1,"Ron","4/11/2022","9:50","Identify",9,"1",1,"1",2164,1
"2",1,"Ron","4/11/2022","9:50","Recall",10,"1",1,"true",1083,1
"3",1,"Ron","4/11/2022","9:50","Identify",11,"2",1,"0",1713,1
"4",1,"Ron","4/11/2022","9:50","Recall",12,"2",1,"true",1536,1
"5",1,"Ron","4/11/2022","9:50","Identify",13,"3",1,"2",1377,1
"6",1,"Ron","4/11/2022","9:50","Recall",14,"3",1,"true",1084,1
"7",1,"Ron","4/11/2022","9:50","Identify",15,"4",1,"2",1646,1
"8",1,"Ron","4/11/2022","9:50","Recall",16,"4",1,"true",1100,1
"9",1,"Ron","4/11/2022","9:50","Identify",18,"1",2,"0",2064,1
"10",1,"Ron","4/11/2022","9:50","Identify",19,"2",2,"0",998,1
"11",1,"Ron","4/11/2022","9:50","Recall",20,"1",2,"true, true",1550,1
"12",1,"Ron","4/11/2022","9:50","Identify",21,"3",2,"2",1228,1
"13",1,"Ron","4/11/2022","9:50","Identify",22,"4",2,"1",1964,1
"14",1,"Ron","4/11/2022","9:50","Recall",23,"2",2,"true, true",2251,1
"15",1,"Ron","4/11/2022","9:50","Identify",24,"5",2,"0",1947,1
"16",1,"Ron","4/11/2022","9:50","Identify",25,"6",2,"2",1978,1
"17",1,"Ron","4/11/2022","9:50","Recall",26,"3",2,"true, true",2001,1
"18",1,"Ron","4/11/2022","9:50","Identify",27,"7",2,"1",1196,1
"19",1,"Ron","4/11/2022","9:50","Identify",28,"8",2,"1",1814,1
"20",1,"Ron","4/11/2022","9:50","Recall",29,"4",2,"false, true",1472,0
"21",1,"Ron","4/11/2022","9:50","Identify",31,"1",3,"1",1447,1
"22",1,"Ron","4/11/2022","9:50","Identify",32,"2",3,"0",1466,1
"23",1,"Ron","4/11/2022","9:50","Identify",33,"3",3,"0",2679,1
"24",1,"Ron","4/11/2022","9:50","Recall",34,"1",3,"true, true, true",2251.00000000001,1
"25",1,"Ron","4/11/2022","9:50","Identify",35,"4",3,"2",1926,1
"26",1,"Ron","4/11/2022","9:50","Identify",36,"5",3,"0",1599,1
"27",1,"Ron","4/11/2022","9:50","Identify",37,"6",3,"2",1463,1
"28",1,"Ron","4/11/2022","9:50","Recall",38,"2",3,"true, true, true",2751,1
"29",1,"Ron","4/11/2022","9:50","Identify",39,"7",3,"1",3962,1
"30",1,"Ron","4/11/2022","9:50","Identify",40,"8",3,"2",1515,1
"31",1,"Ron","4/11/2022","9:50","Identify",41,"9",3,"2",1200,1
"32",1,"Ron","4/11/2022","9:50","Recall",42,"3",3,"true, true, true",4433.00000000001,1
"33",1,"Ron","4/11/2022","9:50","Identify",43,"10",3,"0",1562,1
"34",1,"Ron","4/11/2022","9:50","Identify",44,"11",3,"1",3346,1
"35",1,"Ron","4/11/2022","9:50","Identify",45,"12",3,"0",1563,1
"36",1,"Ron","4/11/2022","9:50","Recall",46,"4",3,"true, true, true",2085,1
